title,prediction
Still Time,Teen
Surf World Series,Everyone
The Metronomicon: Slay the Dance Floor,Everyone 10+
Windjammers,Everyone
Rock of Ages Everyone 10+: Bigger and Boulder,Everyone 10+
South Park: The Fractured but Whole ,Mature
Dishonored: Death of the Outsider,Mature
Battle of the Bulge,Everyone 10+
FEveryone Everyone 10+0Everyone7,Everyone
NARUTO SHIPPUDEN™: Ultimate Ninja® STORM Everyone 10+,Everyone 10+
NARUTO SHIPPUDEN™: Ultimate Ninja® STORM Mature Full Burst,Teen
NARUTO™: Ultimate Ninja® STORM,Everyone 10+
NeverEnd,Everyone 10+
One Piece: Unlimited World Red Deluxe Edition,Everyone 10+
Outcast - Second Contact,Teen
Path of Exile,Mature
South Park: The Stick of Truth,Mature
Realms of Arkania - Blade of Destiny,Teen
ACA NEOGEO PUZZLED,Everyone
Axiom Verge,Everyone 10+
Blacksea Odyssey ,Teen
ChromaGun,Everyone 10+
Mages of Mystralia,Everyone 10+
Bleed,Teen
Duck Game,Everyone 10+
Knack Everyone 10+,Everyone 10+
Madden NFL Everyone8 G.O.A.T. Edition,Everyone 10+
Marvel's Guardians of the Galaxy: The Telltale Series – More than a Feeling,Teen
Middle-Earth: Shadow of War,Mature
Raiden V: Director's Cut,Everyone 10+
Soul Dimension,Teen
Super Comboman: Smash Edition,Everyone 10+
SwapQuest,Everyone 10+
The Book of Regrets,Teen
The Escapists Everyone 10+,Everyone 10+
Uncharted: The Lost Legacy,Teen
RAID: WORLD WAR II,Mature
Minecraft: Story Mode - Season Two - Season Pass,Everyone 10+
Gran Turismo Sport,Everyone
BLUE REFLECTION™,Everyone 10+
ACA NEOGEO MAGICIAN LORD,Teen
Limbo,Everyone
Madden NFL Everyone8,Everyone 10+
>Observer_,Mature
MatureD MiniGolf,Everyone
Dark Mystery,Everyone
Defenders of Ekron,Teen
Eliosi's Hunt,Everyone 10+
Matterfall,Everyone 10+
Minecraft: Story Mode - Season Two - Episode Everyone 10+: Giant Consequences,Everyone 10+
Nidhogg Everyone 10+,Teen
Night Trap - Everyone 10+5th Anniversary Edition,Teen
Paranormal Activity: The Lost Soul,Teen
Undertale,Everyone 10+
Dragon's Dogma: Dark Arisen,Mature
The Girl and the Robot,Everyone 10+
GUNDAM VERSUS,Everyone 10+
ACA NEOGEO THE KING OF FIGHTERS '96,Teen
Battlefield Everyone Revolution,Teen
.hack//G.U. Last Recode,Everyone 10+
Pro Evolution Soccer Everyone 10+0Everyone8 ,Everyone
Batman: The Enemy Within - Season Pass,Teen
Comet Crash Everyone 10+: The Kronkoid Wars,Everyone 10+
Graceful Explosion Machine,Everyone
Hellblade: Senua's Sacrifice,Mature
ICEY,Everyone 10+
Masquerada: Songs and Shadows,Teen
Neon Drive,Everyone
Neptune Flux,Everyone
Project CARS Everyone 10+,Everyone
Transport Giant,Everyone
Cat Quest,Everyone 10+
Battle Chasers: Nightwar,Everyone 10+
ACA NEOGEO AERO FIGHTERS Everyone 10+,Everyone 10+
Dino Frontier,Teen
Drawfighters,Everyone 10+
Dreadnought,Teen
Frisky Business ,Everyone 10+
It's Spring Again,Everyone
Patapon Remastered,Everyone
Shantae: Half-Genie Hero,Teen
The Long Dark,Teen
Destiny Everyone 10+,Teen
Sundered,Everyone 10+
Leaving Lyndow,Everyone
Ken Follett's The Pillars of the Earth,Teen
LawBreakers,Mature
Theseus,Teen
Vostok Inc.,Everyone 10+
A HEALER ONLY LIVES TWICE,Everyone 10+
Apollo EveryoneEveryone VR,Everyone
Circuit Breakers,Everyone 10+
Digital Domain's Monkey King,Teen
Fortnite,Teen
Heroes of the Seven Seas,Teen
Infinite Minigolf,Everyone
Pressure Overdrive,Everyone 10+
Pyre,Everyone 10+
Smashbox Arena,Everyone 10+
Super Cloudbuilt,Teen
Tiny Trax,Everyone
Unbox - Newbie's Adventure,Everyone
Marvel vs. Capcom: Infinite,Teen
INSIDE,Teen
Pillars of Eternity,Teen
Conga Master,Everyone
Chaos;Child,Teen
THE IDOLM@STER CINDERELLA GIRLS VIEWING REVOLUTION,Teen
Orcs Must Die! Unchained,Teen
RobotRiot: Hyper Edition,Everyone 10+
Archangel,Teen
99Vidas - The Game,Everyone 10+
Fallen Legion: Sins of an Empire,Everyone 10+
Children of Zodiarcs,Teen
Deadcore,Everyone
ACA NEOGEO FATAL FURY SPECIAL,Teen
Black the Fall,Teen
Derelict Fleet,Everyone 10+
Echoes of the Fey: The Fox's Trail,Teen
Fantastic Contraption,Everyone
IRON CRYPTICLE,Teen
Leap of Fate,Teen
Minecraft: Story Mode - Season Two - Hero in Residence,Everyone 10+
MotoGP™Everyone7,Everyone
Serial Cleaner,Teen
The Bellows,Teen
Warlocks vs Shadows,Everyone 10+
YamaYama,Everyone
theHunter: Call of the Wild,Teen
ACA NEOGEO PULSTAR,Everyone 10+
Accel World vs. Sword Art Online,Everyone 10+
Dead Alliance,Mature
CYBERDIMENSION NEPTUNIA: Teen GODDESSES ONLINE,Everyone 10+
Cities: Skylines,Everyone
WARRIORS ALL-STARS™,Teen
Jak Mature,Everyone
Jak and Daxter,Teen
Jak II,Everyone 10+
Jak X: Combat Racing,Everyone 10+
ACA NEOGEO Everyone 10+0Everyone 10+0 SUPER BASEBALL,Everyone
Cryptark,Teen
America's Army: Proving Grounds,Teen
Ancient Amuletor,Teen
Arizona Sunshine,Mature
Cavernous Wastes,Teen
Diablo III: Eternal Collection,Mature
Elite Dangerous: Legendary Edition,Everyone 10+
Medieval Defenders,Everyone 10+
Poi,Everyone 10+
The Tenth Line,Everyone 10+
The World of Nubla (Nubla Universe),Everyone
Brawlhalla,Everyone 10+
Dark Arcana: The Carnival,Teen
Energy Cycle,Everyone
SHINY,Everyone
Baja: Edge of Control HD,Everyone
Get Even,Mature
Grim Legends Everyone 10+: Song of the Dark Swan,Teen
SUPERHOT VR,Teen
Air Force Special Ops: Nightfall,Everyone 10+
Blasting Agent: Ultimate Edition,Everyone 10+
Chess Ultra,Everyone
Dead by Daylight,Mature
Everybody's Golf,Everyone 10+
I Want To Be Human,Mature
Island Flight Simulator,Everyone
Lili: Child of Geos,Everyone 10+
Nex Machina,Teen
Raiders of The Broken Planet,Teen
Tinertia,Everyone 10+
A hole new world,Teen
Resident Evil Revelations,Mature
Tour de France Everyone 10+0Everyone7,Everyone
Utawarerumono: Mask of Deception,Mature
ACA NEOGEO MAGICAL DROP II,Teen
Cars Mature: Driven to Win,Everyone 10+
Agents of Mayhem,Mature
ELEX,Teen
Mr Shifty,Teen
Pharaonic,Teen
Hunting Simulator,Teen
Redout,Everyone
Damascus Gear: Operation Tokyo HD Edition,Teen
ACA NEOGEO KING OF THE MONSTERS,Everyone 10+
Perception,Teen
Cladun Returns: This Is Sengoku!,Everyone 10+
DiRT Teen,Everyone
Energy Balance,Everyone
Jump Stars,Everyone
Mega Man Legacy Collection Everyone 10+,Everyone 10+
Neighborhorde,Everyone 10+
Plague Road,Teen
Randall,Teen
Skylight Freerange,Mature
Special Delivery,Everyone 10+
Yonder: The Cloud Catcher Chronicles,Everyone 10+
ACA NEOGEO METAL SLUG Everyone 10+,Teen
SpeedRunners,Everyone
Thea: The Awakening,Teen
Tokyo TeenEveryone 10+,Teen
Crossout,Teen
Danger Zone,Everyone 10+
Oh...Sir! The Insult Simulator,Teen
Paddle Vs. Paddle,Everyone
Polarity: Ultimate Edition,Everyone 10+
Friday the EveryoneMatureth: The Game,Mature
Guilty Gear Xrd REV Everyone 10+,Mature
GWENT: The Witcher card game,Teen
BUGSBOX,Everyone
ACA NEOGEO WORLD HEROES Everyone 10+,Teen
Deliriant,Teen
Embers of Mirrim,Everyone
Pox Nora,Teen
Puzzle Showdown TeenK,Everyone
SmuggleCraft,Teen
Spellspire,Everyone 10+
Star Ocean Till the End of Time,Teen
CHROMA SQUAD,Teen
Shadow Warrior Everyone 10+,Mature
Skylar & Plux: Adventure on Clover Island,Everyone
ACA NEOGEO THE LAST BLADE,Teen
Sonic Mania,Everyone
Black & White Bushido,Teen
Future Unfolding,Everyone
Tango Fiesta,Teen
The Surge,Mature
White Day: A Labyrinth Named School,Teen
Danganronpa Another Episode: Ultra Despair Girls,Teen
Narcosis,Mature
Blade & Bones,Teen
BUTCHER,Mature
Human Fall Flat,Everyone
Last Stitch Goodnight,Teen
Lethal League,Everyone 10+
LocoRoco Remastered,Everyone
Moonshot Galaxy,Everyone
NBA Playgrounds,Everyone
Polybius,Everyone 10+
Revenant Saga,Everyone
RiME,Everyone 10+
STRAFE,Mature
Call of Duty: Black Ops III Zombies Chronicles,Mature
Crash Bandicoot (TM) N. Sane Trilogy,Everyone 10+
Sine Mora EX,Teen
AereA,Everyone 10+
Bit Dungeon+,Teen
Save the Ninja Clan,Teen
Planetbase,Everyone 10+
ACA NEOGEO LAST RESORT,Everyone
Farpoint,Mature
GNOG,Everyone 10+
Super Rude Bear Resurrection,Mature
TumbleSeed,Everyone
Constructor,Teen
Wipeout: Omega Collection,Everyone 10+
The Sexy Brutale: Full House Edition,Teen
Lost Grimoires: Stolen Kingdom,Everyone 10+
River City Melee: Battle Royal Special,Everyone
The Town of Light,Teen
Outlast Trinity,Mature
8-Bit Armies,Everyone 10+
Injustice Everyone 10+,Teen
Deathstate,Teen
Games of Glory,Everyone 10+
Marvel Heroes Omega,Teen
Outlast Everyone 10+,Mature
Shovel Knight: Specter of Torment,Everyone
Statik,Teen
Symphony of the Machine,Everyone
The Walking Dead: A New Frontier - Thicker than Water,Mature
What Remains of Edith Finch,Teen
Aven Colony ,Teen
Yooka-Laylee,Everyone 10+
The Golf Club Everyone 10+,Everyone
The Elder Scrolls Online: Morrowind,Mature
Psychonauts In The Rhombus Of Ruin,Everyone 10+
Yakuza Kiwami,Teen
Micro Machines: World Series,Everyone 10+
'n Verlore Verstand,Everyone
BLACKHOLE: Complete Edition,Everyone 10+
ACA NEOGEO FATAL FURY Everyone 10+,Teen
ACA NEOGEO OVER TOP,Everyone
Bandit Six: Combined Arms,Teen
ACA NEOGEO SENGOKU Everyone 10+,Teen
Flinthook,Everyone 10+
Full Throttle Remastered,Teen
HeroCade,Teen
Late Shift,Teen
MechRunner,Everyone 10+
Portal Knights,Everyone 10+
Shiness: The Lightning Kingdom,Teen
Spear of Destiny,Teen
Stardew Valley,Everyone 10+
The Disney Afternoon Collection,Everyone
VR Invaders,Everyone 10+
Wonder Boy: The Dragon's Trap,Everyone 10+
Valkyria Revolution,Mature
Job Simulator,Everyone 10+
Baila Latino ,Everyone
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,Teen
Aaero,Everyone 10+
Cosmic Star Heroine,Teen
Crawl,Teen
Euro Fishing,Everyone
Kero Blaster,Everyone
Snow Moto Racing Freedom,Everyone
The Sexy Brutale,Teen
Sudden Strike Teen,Teen
Marvel's Guardians of the Galaxy: The Telltale Series - Season Pass Disc,Teen
SplashDown Rides Gone Wild,Everyone
ACA NEOGEO GALAXY FIGHT: UNIVERSAL WARRIORS,Teen
TEKKEN 7,Everyone
MXGPMature - The Official Motocross Videogame,Everyone
Air Conflicts: Secret Wars Ultimate Edition,Teen
ArmaGallant: Decks of Destiny,Everyone 10+
Blackwood Crossing,Everyone
Drawn to Death,Teen
FlatOut Teen: Total Insanity,Teen
Hatsune Miku: Project DIVA Future Tone Maturerd Encore Pack,Teen
Mortal Blitz,Teen
Mr. Massagy,Teen
Parappa the Rapper Remastered,Everyone
Plutobi: The Dwarf Planet Tales,Everyone
Use Your Words,Mature
VIRRY VR,Teen
SAMURAI WARRIORS®: Spirit of Sanada,Teen
Shadow Tactics - Blades of the Shogun,Teen
The Silver Case,Teen
Dark Rose Valkyrie,Teen
Deer Simulator,Teen
Punch Club,Teen
Puyo Puyo™ Tetris®,Everyone
Red Faction Everyone 10+,Mature
Rogue Stormers,Teen
SkyKeepers,Everyone
Stuntman: Ignition,Teen
Styx: Shards of Darkness,Mature
The Inner World,Everyone
Thimbleweed Park,Everyone 10+
Zero Escape: The Nonary Games,Mature
ACA NEOGEO THE KING OF FIGHTERS '95,Teen
WONDER BOY RETURNS,Everyone
88 Heroes,Everyone 10+
Anoxemia,Teen
Dark Souls™ III: The Fire Fades™ Edition,Teen
Fated: The Silent Oath,Teen
GOD WARS Future Past,Teen
Korix,Everyone 10+
Rain World,Everyone 10+
Skyforge,Teen
Snake Pass,Everyone
The Walking Dead: A New Frontier - Above the Law,Mature
Vikings - Wolves of Midgard,Mature
FATAL FURY BATTLE ARCHIVES VOL.Everyone 10+,Teen
AKIBA'S BEAT,Everyone 10+
Prey ,Teen
Death Tales,Everyone 10+
EVERYTHING,Everyone
Rayon Riddles - Rise of the Goblin King,Everyone 10+
Royal Defense,Everyone 10+
Little Nightmares,Teen
Kona,Teen
R.B.I. Baseball Everyone7,Everyone
ACA NEOGEO SENGOKU,Teen
Momodora: Reverie Under the Moonlight,Everyone 10+
Chaos Code - New Sign of Catastrophe -,Everyone 10+
Gem Smashers,Everyone
SUPERBEAT: XONiC,Teen
Blue-Collar Astronaut,Everyone 10+
Death Squared,Everyone
Leave The Nest,Everyone
NeuroVoider,Everyone 10+
Troll & I,Mature
Mass Effect™: Andromeda,Mature
Birthdays the Beginning,Everyone
Clicker Heroes,Everyone 10+
Darknet,Everyone
Dino Dini's Kick Off Revival,Everyone
Disc Jam,Everyone
Hatsune Miku: Project DIVA Future Tone Everyone 10+nd Encore Pack,Teen
Loot Rascals,Everyone 10+
MLB The Show Everyone7,Everyone
Sublevel Zero Redux,Everyone 10+
Talisman Digital Edition,Everyone
Total Jigsaw,Teen
Unearthing Mars,Teen
Sniper Ghost Warrior Mature,Mature
LEGO City: Undercover,Everyone 10+
Infinifactory,Mature
Syberia Mature,Everyone 10+
Bloons TD 5,Everyone
Eekeemoo - Splinters of the Dark Shard,Everyone 10+
Summon Night 6:Lost Borders,Everyone 10+
Ultimate Marvel vs. Capcom Mature,Teen
A KING'S TALE FINAL FANTASY XV,Everyone 10+
ACA NEOGEO NAM-Everyone975,Everyone 10+
The Walking Dead: The Telltale Series: A New Frontier,Mature
Dying : Reborn VR,Teen
DYING:Reborn,Teen
Ghost Blade HD,Everyone 10+
World to the West,Everyone 10+
Air Conflicts:  Secret Wars Ultimate Edition ,Teen
StarBlood Arena,Teen
Atelier Firis: The Alchemist and the Mysterious Journey,Everyone 10+
A Pixel Story,Everyone
ADK DAMASHII,Teen
forma.8,Everyone 10+
Trulon: The Shadow Engine,Everyone 10+
"Warhammer Teen0,000: Deathwatch",Teen
ACA NEOGEO NEO TURF MASTERS,Everyone
Shift Happens,Everyone
Chime Sharp,Everyone
LEGO Worlds,Everyone 10+
Malicious Fallen,Teen
Mervils: A VR Adventure,Everyone 10+
Night in the Woods,Everyone 10+
Psychonauts in the Rhombus of Ruin,Everyone 10+
Sniper Elite Teen,Mature
STARRY NIGHTS HELIX,Everyone
VACCINE,Teen
Warhammer Quest,Teen
Ys Origin,Teen
Has Been Heroes,Everyone 10+
SkyRide,Teen
Battle Islands:  Commanders,Everyone 10+
Flywrench,Everyone
iO,Everyone
Monster Loves You!,Teen
MX Nitro,Teen
Persona 5,Mature
Semispheres,Everyone
Vertical Drop Heroes HD,Everyone 10+
Hatsune Miku: Project DIVA Future Tone Everyonest Encore Pack,Teen
Hatsune Miku: Project DIVA Future Tone Colorful Tone,Teen
Hatsune Miku: Project DIVA Future Tone Future Sound,Teen
8DAYS,Mature
Horizon: Zero Dawn,Teen
How to Survive Everyone 10+,Teen
Kitty Powers' Matchmaker,Teen
Nioh,Mature
Super GunWorld Everyone 10+,Everyone
The Onion Knights,Everyone 10+
Touhou Genso Wanderer,Everyone 10+
Uncanny Valley,Mature
Valhalla Hills - Definitive Edition ,Teen
VR Ping Pong,Everyone
Everyone 10+Dark,Mature
Bulletstorm: Full Clip Edition,Mature
Pixel Heroes: Byte and Magic,Teen
Adventure Pop,Everyone 10+
Dexed,Everyone 10+
Divide,Everyone 10+
DYNASTY WARRIORS: Godseekers,Teen
Kill The Bad Guy,Mature
Knee Deep,Teen
Linelight,Everyone
Double Dragon Teen,Teen
ACA NEOGEO WORLD HEROES,Teen
MXGPEveryone 10+ Comapct,Everyone
Toukiden Everyone 10+,Mature
Pineview Drive,Teen
Subterrain,Mature
Kingdom Hearts HD Everyone.5 + Everyone 10+.5 ReMIX,Everyone 10+
Lock's Quest,Everyone 10+
Berserk and the Band of the Hawk,Mature
Hunter's Legacy,Everyone
Toby: The Secret Mine,Everyone 10+
Tom Clancy's Ghost Recon Wildlands ,Mature
Dragon Quest Heroes II,Everyone 10+
Everyone 10+06Teen: Read Only Memories,Mature
Joe's Diner,Everyone
Life of Black Tiger,Teen
Quest of Dungeons,Everyone 10+
RWBY: Grimm Eclipse,Teen
Saban's Mighty Morphin Power Rangers: Mega Battle,Everyone 10+
The Flame in the Flood: Complete Edition,Teen
ACA NEOGEO FATAL FURY,Teen
Dead Effect Everyone 10+,Mature
Rise & Shine,Mature
Sylvio,Teen
Planet Everyone 10+000,Everyone 10+
Spheroids,Everyone
ACA NEOGEO ALPHA MISSION II,Everyone
Asdivine Hearts,Everyone 10+
Hatsune Miku: Project DIVA Future Tone,Teen
MX vs. ATV Unleashed,Everyone
This is the Police,Mature
Deformers,Teen
Tales of Berseria,Teen
For Honor,Mature
Victor Vran Overkill Edition,Teen
Danganronpa Everyone•Everyone 10+ Reload,Mature
Touhou Double Focus,Everyone 10+
Crypt of the Serpent King,Teen
